id,scrape_id,last_scraped,name,host_id,street,city,latitude,longitude,is_location_exact
3404393,2.02E+13,7/12/2018,Self Contained Executive Apartment,12744159,"St Kilda, VIC, Australia",St Kilda,-37.8621704,144.978645,t
3414511,2.02E+13,7/12/2018,Room in Modern St Kilda Road Apt,15265157,"Melbourne, VIC, Australia",Melbourne,-37.85423669,144.9818048,t
3419343,2.02E+13,7/12/2018,New York Style Loft in the Heart of Chapel Street,17237792,"Prahran, VIC, Australia",Prahran,-37.84774954,144.9930321,t
3420169,2.02E+13,7/12/2018,"Camp Lolgorian, Melbourne",17241114,"Carrum Downs, VIC, Australia",Carrum Downs,-38.10371702,145.1931252,t
3425683,2.02E+13,7/12/2018,"Tiny private room, tiny price.",17268299,"Maidstone, VIC, Australia",Maidstone,-37.77908243,144.8847201,t
3428159,2.02E+13,7/12/2018,3 Kings Bed and Breakfast,17279658,"Yarra Junction, VIC, Australia",Yarra Junction,-37.78241907,145.6156966,t
3428595,2.02E+13,7/12/2018,è¿žä½“åˆ«å¢…æ¸©é¦¨å°å®¶,14169419,"Camberwell, VIC, Australia",Camberwell,-37.84856961,145.0884167,f
3430420,2.02E+13,7/12/2018,*DISCOUNTED 2br Spacious & modern in Southbank,4318585,"Southbank, VIC, Australia",Southbank,-37.82706106,144.9672269,t
3434061,2.02E+13,7/12/2018,Millwaters Retreat I- Warburton,17307107,"Millgrove, VIC, Australia",Millgrove,-37.75419626,145.6578155,t
3435050,2.02E+13,7/12/2018,Room in Exciting South Wharf Guest Suite with Peaceful,17314386,"Docklands, VIC, Australia",Docklands,-37.82546566,144.9433304,t
3435150,2.02E+13,7/12/2018,"Apartment WOW, Location WOW",17315027,"St Kilda, VIC, Australia",St Kilda,-37.86720211,144.9752935,t
3441367,2.02E+13,7/12/2018,Modern 2BR and 2 Bathrooms,17327788,"Hawthorn, VIC, Australia",Hawthorn,-37.82115741,145.0323081,f
3441919,2.02E+13,7/12/2018,Home Away From Home,17345869,"Boronia, VIC, Australia",Boronia,-37.86753229,145.2801777,t
3443643,2.02E+13,7/12/2018,Private Studio Apartment with Stunning Deck,17355613,"Healesville, VIC, Australia",Healesville,-37.62679172,145.5175184,t
3448484,2.02E+13,7/12/2018,Yarra Valley Pool House Studio,13114327,"Badger Creek, VIC, Australia",Badger Creek,-37.70441112,145.5322218,t
3449646,2.02E+13,7/12/2018,Cosy 2 BR unit in great location,3796986,"Thornbury, VIC, Australia",Thornbury,-37.7556677,144.9966416,t
3450353,2.02E+13,7/12/2018,1BR - Inner City Bohemian Escape,6066079,"South Melbourne, VIC, Australia",South Melbourne,-37.83393534,144.9686605,f
3458216,2.02E+13,7/12/2018,Spacious & central to St Kilda life,11674305,"St Kilda, VIC, Australia",St Kilda,-37.85848726,144.9787151,t
3458682,2.02E+13,7/12/2018,Spacious. Bright. Beach-side. Chic!,17431848,"Elwood, VIC, Australia",Elwood,-37.88828581,144.9899078,t
3459210,2.02E+13,7/12/2018,St Kilda/Elwood Edwardian Elegance ,3721646,"Elwood, VIC, Australia",Elwood,-37.87405857,144.9811679,t
3459211,2.02E+13,7/12/2018,"Park & City Views, Princes Hill",1496466,"Brunswick, VIC, Australia",Brunswick,-37.77691977,144.9606038,t
3461456,2.02E+13,7/12/2018,Private Townhouse room in stunning Armadale,17442879,"Armadale, VIC, Australia",Armadale,-37.85943031,145.022931,t
3462065,2.02E+13,7/12/2018,Huge room! Chapel St/St Kilda,17445414,"Windsor, VIC, Australia",Windsor,-37.85337942,144.9848903,t
3471854,2.02E+13,7/12/2018,Cosy East Brunswick Cottage Room,15503498,"Brunswick East, VIC, Australia",Brunswick East,-37.76624874,144.9786912,t
3472789,2.02E+13,7/12/2018,Melbourne Docklands - New Quay,9359294,"Docklands, VIC, Australia",Docklands,-37.8125286,144.9450642,t
3479087,2.02E+13,7/12/2018,A Resort in the City 3 - Southbank,9256292,"Melbourne, VIC, Australia",Melbourne,-37.82498791,144.9678976,t
3489740,2.02E+13,7/12/2018,Royal Stays 2Bdr Inner City Apt (RS1102),4170460,"Southbank, VIC, Australia",Southbank,-37.8267265,144.9599435,t
3489931,2.02E+13,7/12/2018,"ZZ LARGE 2 BEDRM City Resort 4- parking, wifi",5138361,"Southbank, VIC, Australia",Southbank,-37.82540304,144.9671885,t
3490470,2.02E+13,7/12/2018,Bright & cosy room in Fitzroy,4168854,"Fitzroy North, VIC, Australia",Fitzroy North,-37.79242562,144.9772376,t
3493189,2.02E+13,7/12/2018,On The Beach 2 - Aspendale,16453292,"Aspendale, VIC, Australia",Aspendale,-38.01759561,145.095976,t
3498969,2.02E+13,7/12/2018,Room in awesome Fitzroy North terrace,14298738,"Fitzroy North, VIC, Australia",Fitzroy North,-37.78083706,144.9829316,t
3506366,2.02E+13,7/12/2018,HOME ON THE PARK,8211892,"Carlton, VIC, Australia",Carlton,-37.79710536,144.9710197,t
3506647,2.02E+13,7/12/2018,"Richmond cottage, lovely appeal in great location",16794345,"Richmond, VIC, Australia",Richmond,-37.82288679,144.9921367,t
3507011,2.02E+13,7/12/2018,Tree Tops and Sun in Carlton North,1967238,"Carlton North, VIC, Australia",Carlton North,-37.78183806,144.974782,t
