,STOP_NAME,LATITUDE,LONGITUDE
271,Brunswick Railway Station (Brunswick),-37.767721,144.959587
272,Windsor Railway Station (Windsor),-37.856053,144.992035
273,Southern Cross Railway Station (Melbourne City),-37.817936,144.951411
274,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964
275,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964
276,Southern Cross Railway Station (Melbourne City),-37.817936,144.951411
277,Richmond Railway Station (Richmond),-37.824074,144.990164
278,Melbourne Central Railway Station (Melbourne City),-37.809939,144.962594
279,Croxton Railway Station (Northcote),-37.764101,144.997056
280,South Yarra Railway Station (South Yarra),-37.838449,144.992342
281,Rushall Railway Station (Fitzroy North),-37.783217,144.992407
282,Burnley Railway Station (Burnley),-37.82756,145.007555
283,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964
284,Windsor Railway Station (Windsor),-37.856053,144.992035
285,Burnley Railway Station (Burnley),-37.82756,145.007555
286,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964
287,Royal Park Railway Station (Parkville),-37.781193,144.952301
288,North Melbourne Railway Station (West Melbourne),-37.807419,144.94257
289,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964
290,Jewell Railway Station (Brunswick),-37.774987,144.958717
291,Merri Railway Station (Northcote),-37.777847,144.992972
292,Hawksburn Railway Station (South Yarra),-37.844591,145.002142
293,Southern Cross Railway Station (Melbourne City),-37.817936,144.951411
294,Parliament Railway Station (Melbourne City),-37.811054,144.972911
295,Balaclava Railway Station (Balaclava),-37.869488,144.993512
296,Windsor Railway Station (Windsor),-37.856053,144.992035
297,Clifton Hill Railway Station (Clifton Hill),-37.788657,144.995417
298,South Yarra Railway Station (South Yarra),-37.838449,144.992342
299,South Yarra Railway Station (South Yarra),-37.838449,144.992342
300,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964
301,North Melbourne Railway Station (West Melbourne),-37.807419,144.94257
302,South Yarra Railway Station (South Yarra),-37.838449,144.992342
303,Heidelberg Railway Station (Heidelberg),-37.757073,145.060686
304,Windsor Railway Station (Windsor),-37.856053,144.992035
305,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964
306,Southern Cross Railway Station (Melbourne City),-37.817936,144.951411
307,Victoria Park Railway Station (Abbotsford),-37.799158,144.994451
308,Essendon Railway Station (Essendon),-37.756012,144.916198
309,Rushall Railway Station (Fitzroy North),-37.783217,144.992407
310,Gardenvale Railway Station (Brighton),-37.896695,145.004168
311,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964
312,Southern Cross Railway Station (Melbourne City),-37.817936,144.951411
313,Collingwood Railway Station (Abbotsford),-37.804526,144.99375
314,Ripponlea Railway Station (Ripponlea),-37.875906,144.995237
315,Melbourne Central Railway Station (Melbourne City),-37.809939,144.962594
316,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964
317,Melbourne Central Railway Station (Melbourne City),-37.809939,144.962594
318,Southern Cross Railway Station (Melbourne City),-37.817936,144.951411
319,Windsor Railway Station (Windsor),-37.856053,144.992035
320,Windsor Railway Station (Windsor),-37.856053,144.992035
321,Balaclava Railway Station (Balaclava),-37.869488,144.993512
322,South Yarra Railway Station (South Yarra),-37.838449,144.992342
323,Collingwood Railway Station (Abbotsford),-37.804526,144.99375
324,Moonee Ponds Railway Station (Moonee Ponds),-37.765707,144.919161
325,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964
326,Parliament Railway Station (Melbourne City),-37.811054,144.972911
327,Rushall Railway Station (Fitzroy North),-37.783217,144.992407
328,Windsor Railway Station (Windsor),-37.856053,144.992035
329,Parliament Railway Station (Melbourne City),-37.811054,144.972911
330,South Yarra Railway Station (South Yarra),-37.838449,144.992342
331,Windsor Railway Station (Windsor),-37.856053,144.992035
332,East Richmond Railway Station (Richmond),-37.8264,144.997066
333,Balaclava Railway Station (Balaclava),-37.869488,144.993512
334,Seddon Railway Station (Seddon),-37.809005,144.895672
335,Parliament Railway Station (Melbourne City),-37.811054,144.972911
336,Ripponlea Railway Station (Ripponlea),-37.875906,144.995237
337,Southern Cross Railway Station (Melbourne City),-37.817936,144.951411
338,Collingwood Railway Station (Abbotsford),-37.804526,144.99375
339,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964
340,Balaclava Railway Station (Balaclava),-37.869488,144.993512
341,Balaclava Railway Station (Balaclava),-37.869488,144.993512
342,Merri Railway Station (Northcote),-37.777847,144.992972
343,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964
344,Southern Cross Railway Station (Melbourne City),-37.817936,144.951411
345,Balaclava Railway Station (Balaclava),-37.869488,144.993512
346,Ripponlea Railway Station (Ripponlea),-37.875906,144.995237
347,Seddon Railway Station (Seddon),-37.809005,144.895672
348,Anstey Railway Station (Brunswick),-37.761242,144.960684
349,Parliament Railway Station (Melbourne City),-37.811054,144.972911
350,Windsor Railway Station (Windsor),-37.856053,144.992035
351,Southern Cross Railway Station (Melbourne City),-37.817936,144.951411
352,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964
353,Balaclava Railway Station (Balaclava),-37.869488,144.993512
354,Anstey Railway Station (Brunswick),-37.761242,144.960684
355,Southern Cross Railway Station (Melbourne City),-37.817936,144.951411
356,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964
357,Southern Cross Railway Station (Melbourne City),-37.817936,144.951411
358,Collingwood Railway Station (Abbotsford),-37.804526,144.99375
359,Collingwood Railway Station (Abbotsford),-37.804526,144.99375
360,North Richmond Railway Station (Richmond),-37.810398,144.9925
361,Parliament Railway Station (Melbourne City),-37.811054,144.972911
362,Darling Railway Station (Malvern East),-37.868957,145.062951
363,Ripponlea Railway Station (Ripponlea),-37.875906,144.995237
364,Southern Cross Railway Station (Melbourne City),-37.817936,144.951411
365,Balaclava Railway Station (Balaclava),-37.869488,144.993512
366,Collingwood Railway Station (Abbotsford),-37.804526,144.99375
367,Windsor Railway Station (Windsor),-37.856053,144.992035
368,North Melbourne Railway Station (West Melbourne),-37.807419,144.94257
369,Prahran Railway Station (Prahran),-37.849518,144.98986
370,Fairfield Railway Station (Fairfield),-37.779171,145.016905
371,Windsor Railway Station (Windsor),-37.856053,144.992035
372,Victoria Park Railway Station (Abbotsford),-37.799158,144.994451
373,Glenferrie Railway Station (Hawthorn),-37.821467,145.036439
374,Jolimont-MCG Railway Station (East Melbourne),-37.816527,144.984098
375,Royal Park Railway Station (Parkville),-37.781193,144.952301
376,Royal Park Railway Station (Parkville),-37.781193,144.952301
377,Windsor Railway Station (Windsor),-37.856053,144.992035
378,Gardiner Railway Station (Glen Iris),-37.853279,145.051655
379,North Richmond Railway Station (Richmond),-37.810398,144.9925
380,Balaclava Railway Station (Balaclava),-37.869488,144.993512
381,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964
382,Clifton Hill Railway Station (Clifton Hill),-37.788657,144.995417
383,Parliament Railway Station (Melbourne City),-37.811054,144.972911
384,South Yarra Railway Station (South Yarra),-37.838449,144.992342
385,South Yarra Railway Station (South Yarra),-37.838449,144.992342
386,Parliament Railway Station (Melbourne City),-37.811054,144.972911
387,South Yarra Railway Station (South Yarra),-37.838449,144.992342
388,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964
389,Flemington Bridge Railway Station (North Melbourne),-37.78814,144.939323
390,Balaclava Railway Station (Balaclava),-37.869488,144.993512
