,id,latitude,longitude,STOP_NAME,LATITUDE,LONGITUDE,station_distance
166,1187940,-37.89723422,145.0081475,Gardenvale Railway Station (Brighton),-37.896695,145.004168,0.4
167,1192689,-37.86547056,144.97732290000005,Balaclava Railway Station (Balaclava),-37.869488,144.993512,1.5
168,1201338,-37.83505397,144.95858169999997,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964,2.0
169,1214103,-37.81419136,144.9483976,Southern Cross Railway Station (Melbourne City),-37.817936,144.951411,0.5
170,1218977,-37.79465637,144.9860061,Victoria Park Railway Station (Abbotsford),-37.799158,144.994451,0.9
171,1233439,-37.84797701,144.98596840000005,Prahran Railway Station (Prahran),-37.849518,144.98986,0.4
172,1233605,-37.8159825,144.960751,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964,0.6
173,1237261,-37.8310458,144.9885196,Richmond Railway Station (Richmond),-37.824074,144.990164,0.8
174,1244671,-37.8042552,144.9673177,Melbourne Central Railway Station (Melbourne City),-37.809939,144.962594,0.8
175,1252561,-37.81462346,144.89035259999997,Yarraville Railway Station (Yarraville),-37.81585,144.889934,0.1
176,1253219,-37.80776539,144.89750619999995,Seddon Railway Station (Seddon),-37.809005,144.895672,0.2
177,1260741,-37.89725782,145.00573369999995,Gardenvale Railway Station (Brighton),-37.896695,145.004168,0.2
178,1261894,-37.83618992,144.9677169,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964,2.0
179,1265947,-37.86377456,144.9741822,Windsor Railway Station (Windsor),-37.856053,144.992035,1.8
180,1266244,-37.82521295,144.9532977,Southern Cross Railway Station (Melbourne City),-37.817936,144.951411,0.8
181,1271310,-37.85771609,144.986269,Windsor Railway Station (Windsor),-37.856053,144.992035,0.5
182,1273572,-37.76916271,144.9794222,Northcote Railway Station (Northcote),-37.769865,144.995277,1.4
183,1273768,-37.80698378,144.9803136,Parliament Railway Station (Melbourne City),-37.811054,144.972911,0.8
184,1289241,-37.76099538,144.9725834,Anstey Railway Station (Brunswick),-37.761242,144.960684,1.0
185,1302086,-37.87083870000001,145.0195346,Malvern Railway Station (Malvern),-37.866253,145.029294,1.0
186,1309557,-37.86557533,145.0236754,Malvern Railway Station (Malvern),-37.866253,145.029294,0.5
187,1314080,-37.78777082,144.979958,Rushall Railway Station (Fitzroy North),-37.783217,144.992407,1.2
188,1349937,-37.83771931,144.99622250000004,South Yarra Railway Station (South Yarra),-37.838449,144.992342,0.4
189,1352762,-37.7372115,145.0528305,Rosanna Railway Station (Rosanna),-37.742879,145.06614,1.3
190,1357290,-37.86454709,144.9955985,Balaclava Railway Station (Balaclava),-37.869488,144.993512,0.6
191,1361329,-37.83920263,144.9939084,South Yarra Railway Station (South Yarra),-37.838449,144.992342,0.2
192,1394277,-37.81563989,144.9761035,Parliament Railway Station (Melbourne City),-37.811054,144.972911,0.6
193,1405749,-37.85054103,144.9790168,Prahran Railway Station (Prahran),-37.849518,144.98986,1.0
194,1417716,-37.87362348,144.988748,Balaclava Railway Station (Balaclava),-37.869488,144.993512,0.6
195,1434853,-37.81054842,144.9703239,Parliament Railway Station (Melbourne City),-37.811054,144.972911,0.2
196,1447595,-37.81356055,144.9615517,Melbourne Central Railway Station (Melbourne City),-37.809939,144.962594,0.4
197,1467936,-37.84996749,145.0077122,Toorak Railway Station (Armadale),-37.850774,145.013909,0.6
198,1467998,-37.88028915,145.0068543,Elsternwick Railway Station (Elsternwick),-37.884753,145.000898,0.7
199,1483791,-37.8655511,144.99622130000003,Balaclava Railway Station (Balaclava),-37.869488,144.993512,0.5
200,1490980,-37.80171278,144.9747864,Parliament Railway Station (Melbourne City),-37.811054,144.972911,1.1
201,1494540,-37.80963514,144.97295219999995,Parliament Railway Station (Melbourne City),-37.811054,144.972911,0.2
202,1497122,-37.81783248,144.960963,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964,0.5
203,1504584,-37.79754397,144.9769531,Parliament Railway Station (Melbourne City),-37.811054,144.972911,1.5
204,1508587,-37.79794303,144.993347,Victoria Park Railway Station (Abbotsford),-37.799158,144.994451,0.2
205,1513151,-37.73458502,144.9768385,Batman Railway Station (Coburg North),-37.733523,144.962841,1.2
206,1547045,-37.82365335,144.9677018,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964,0.6
207,1547261,-37.77230153,144.9602611,Jewell Railway Station (Brunswick),-37.774987,144.958717,0.3
208,1557274,-37.83283538,144.9882834,South Yarra Railway Station (South Yarra),-37.838449,144.992342,0.7
209,1557846,-37.86776464,144.9830469,Balaclava Railway Station (Balaclava),-37.869488,144.993512,0.9
210,1558434,-37.8009096,144.9732085,Parliament Railway Station (Melbourne City),-37.811054,144.972911,1.1
211,1568136,-37.83903596,144.9930299,South Yarra Railway Station (South Yarra),-37.838449,144.992342,0.1
212,1570830,-37.85831272,144.97941569999998,Windsor Railway Station (Windsor),-37.856053,144.992035,1.1
213,1579215,-37.79026887,144.9831665,Clifton Hill Railway Station (Clifton Hill),-37.788657,144.995417,1.1
214,1589912,-37.78696948,144.98622340000003,Rushall Railway Station (Fitzroy North),-37.783217,144.992407,0.7
215,1602976,-37.801278,144.98507130000004,Collingwood Railway Station (Abbotsford),-37.804526,144.99375,0.8
216,1603051,-37.80754427,144.9667071,Melbourne Central Railway Station (Melbourne City),-37.809939,144.962594,0.4
217,1610201,-37.78711657,144.94081880000005,Flemington Bridge Railway Station (North Melbourne),-37.78814,144.939323,0.2
218,1610316,-37.81584292,144.946158,Southern Cross Railway Station (Melbourne City),-37.817936,144.951411,0.5
219,1619718,-37.86438904,144.97524280000005,Balaclava Railway Station (Balaclava),-37.869488,144.993512,1.7
220,1619808,-37.81085897,144.9882426,North Richmond Railway Station (Richmond),-37.810398,144.9925,0.4
